Full Weapon Name,Weapon Augment,Weapon Base,Weapon Name,AmmoConfig,GeneralAmmoType,AmmoType,AmmoTypes,Size,Price,BaseWeaponPrice,AmmoTypePrice,Damage,Drop Range,Muzzle Velocity,Vertical Recoil,Rate of Fire,Cycle Time,Spread,Sway,Reload Speed,Loaded,Extra,Note
Bornheim No. 3,Base,Bornheim,Bornheim,SingleBulletType,Compact,Default,Compact / Default,Small Slot,146,146,0,74,80,380,6,65,0.2,25,128,7.4,6,15,
Bornheim No. 3 Extended,Extended,Bornheim,Bornheim Extended,SingleBulletType,Compact,Default,Compact / Default,Small Slot,203,203,0,74,80,380,6,44,0.2,25,128,9.6,9,15,
Bornheim No. 3 Extended High Velocity,Extended,Bornheim,,SingleBulletType,Compact,High Velocity,Compact / High Velocity,Small Slot,263,203,60,70,85,455,7.5,44,0.2,25,128,9.6,9,10,
Bornheim No. 3 Extended Incendiary,Extended,Bornheim,,SingleBulletType,Compact,Incendiary,Compact / Incendiary,Small Slot,243,203,40,74,80,380,6,44,0.2,25,128,9.6,9,15,Ignites Hunters in one shot up to 20m
Bornheim No. 3 Extended Subsonic,Extended,Bornheim,,SingleBulletType,Compact,Subsonic,Compact / Subsonic,Small Slot,208,203,5,74,60,256,6,44,0.2,25,128,9.6,9,18,Reduced Sound
Bornheim No. 3 High Velocity,Base,Bornheim,,SingleBulletType,Compact,High Velocity,Compact / High Velocity,Small Slot,206,146,60,70,85,455,7.5,65,0.2,25,128,7.4,6,10,
Bornheim No. 3 Incendiary,Base,Bornheim,,SingleBulletType,Compact,Incendiary,Compact / Incendiary,Small Slot,186,146,40,74,80,380,6,65,0.2,25,128,7.4,6,15,Ignites Hunters in one shot up to 20m
Bornheim No. 3 Match,Match,Bornheim,Bornheim Match,SingleBulletType,Compact,Default,Compact / Default,Medium Slot,180,180,0,80,85,400,3,65,0.2,22.5,87,7.6,6,20,
Bornheim No. 3 Match High Velocity,Match,Bornheim,,SingleBulletType,Compact,High Velocity,Compact / High Velocity,Medium Slot,240,180,60,76,90,475,5,65,0.2,22.5,87,7.6,6,15,
Bornheim No. 3 Match Incendiary,Match,Bornheim,,SingleBulletType,Compact,Incendiary,Compact / Incendiary,Medium Slot,220,180,40,80,85,400,3,65,0.2,22.5,87,7.6,6,20,Ignites Hunters in one shot up to 20m
Bornheim No. 3 Match Subsonic,Match,Bornheim,,SingleBulletType,Compact,Subsonic,Compact / Subsonic,Medium Slot,185,180,5,80,60,263,3,65,0.2,22.5,87,7.6,6,24,Reduced Sound
Bornheim No. 3 Silencer,Silencer,Bornheim,Bornheim Silencer,SingleBulletType,Compact,Default,Compact / Default,Small Slot,174,174,0,70,70,323,6,65,0.2,25,128,7.4,6,15,
Bornheim No. 3 Silencer High Velocity,Silencer,Bornheim,,SingleBulletType,Compact,High Velocity,Compact / High Velocity,Small Slot,234,174,60,66,75,398,7.5,65,0.2,25,128,7.4,6,10,
Bornheim No. 3 Silencer Incendiary,Silencer,Bornheim,,SingleBulletType,Compact,Incendiary,Compact / Incendiary,Small Slot,214,174,40,70,70,323,6,65,0.2,25,128,7.4,6,15,Ignites Hunters in one shot up to 20m
Bornheim No. 3 Silencer Subsonic,Silencer,Bornheim,,SingleBulletType,Compact,Subsonic,Compact / Subsonic,Small Slot,179,174,5,70,55,236,6,65,0.2,25,128,7.4,6,18,Reduced Sound
Bornheim No. 3 Subsonic,Base,Bornheim,,SingleBulletType,Compact,Subsonic,Compact / Subsonic,Small Slot,151,146,5,74,60,256,6,65,0.2,25,128,7.4,6,18,Reduced Sound
Centennial,Base,Centennial,Centennial,SingleBulletType,Medium,Default,Medium / Default,Large Slot,157,157,0,123,140,600,11,23,1.6,25,77,15.5,10,12,
Centennial Dumdum,Base,Centennial,,SingleBulletType,Medium,Dumdum,Medium / Dumdum,Large Slot,157 + Scarce,157,-1,123,125,480,11,23,1.6,25,77,15.5,10,12,Causes Intense Bleeding
Centennial FMJ,Base,Centennial,,SingleBulletType,Medium,FMJ,Medium / FMJ,Large Slot,207,157,50,123,125,480,14,23,1.6,25,77,15.5,10,12,Damage dropoff begins at 40m
Centennial High Velocity,Base,Centennial,,SingleBulletType,Medium,High Velocity,Medium / High Velocity,Large Slot,217,157,60,116,155,725,14,23,1.6,25,77,15.5,10,8,
Centennial Pointman,Pointman,Centennial,Centennial Pointman,SingleBulletType,Medium,Default,Medium / Default,Medium Slot,114,114,0,120,110,540,15,24,1.6,55,93,10.9,6,12,
Centennial Pointman Dumdum,Pointman,Centennial,,SingleBulletType,Medium,Dumdum,Medium / Dumdum,Medium Slot,114 + Scarce,114,-1,120,85,282,15,24,1.6,55,93,10.9,6,12,Causes Intense Bleeding
Centennial Pointman FMJ,Pointman,Centennial,,SingleBulletType,Medium,FMJ,Medium / FMJ,Medium Slot,164,114,50,120,85,282,19,24,1.6,55,93,10.9,6,12,Damage dropoff begins at 40m
Centennial Pointman High Velocity,Pointman,Centennial,,SingleBulletType,Medium,High Velocity,Medium / High Velocity,Medium Slot,174,114,60,114,125,490,19,24,1.6,55,93,10.9,6,8,
Centennial Pointman Poison,Pointman,Centennial,,SingleBulletType,Medium,Poison,Medium / Poison,Medium Slot,164,114,50,120,110,540,15,24,1.6,55,93,10.9,6,12,Causes Medium Poison
Centennial Pointman Subsonic,Pointman,Centennial,,SingleBulletType,Medium,Subsonic,Medium / Subsonic,Medium Slot,124,114,10,120,80,312,15,24,1.6,55,93,10.9,6,14,Reduced Sound
Centennial Poison,Base,Centennial,,SingleBulletType,Medium,Poison,Medium / Poison,Large Slot,207,157,50,123,140,600,11,23,1.6,25,77,15.5,10,12,Causes Medium Poison
Centennial Shorty,Shorty,Centennial,Centennial Shorty,SingleBulletType,Medium,Default,Medium / Default,Medium Slot,103,103,0,120,110,540,15,24,1.6,42.5,100,10.9,6,12,
Centennial Shorty Dumdum,Shorty,Centennial,,SingleBulletType,Medium,Dumdum,Medium / Dumdum,Medium Slot,103 + Scarce,103,-1,120,85,432,15,24,1.6,42.5,100,10.9,6,12,Causes Intense Bleeding
Centennial Shorty FMJ,Shorty,Centennial,,SingleBulletType,Medium,FMJ,Medium / FMJ,Medium Slot,153,103,50,120,85,432,19,24,1.6,42.5,100,10.9,6,12,Damage dropoff begins at 40m
Centennial Shorty High Velocity,Shorty,Centennial,,SingleBulletType,Medium,High Velocity,Medium / High Velocity,Medium Slot,163,103,60,114,125,640,19,24,1.6,42.5,100,10.9,6,8,
Centennial Shorty Poison,Shorty,Centennial,,SingleBulletType,Medium,Poison,Medium / Poison,Medium Slot,153,103,50,120,110,540,15,24,1.6,42.5,100,10.9,6,12,Causes Medium Poison
Centennial Shorty Silencer,Shorty Silencer,Centennial,Centennial Shorty Silencer,SingleBulletType,Medium,Default,Medium / Default,Medium Slot,137,137,0,114,100,459,15,24,1.6,42.5,100,10.9,6,12,
Centennial Shorty Silencer Dumdum,Shorty Silencer,Centennial,,SingleBulletType,Medium,Dumdum,Medium / Dumdum,Medium Slot,137 + Scarce,137,-1,114,85,367,15,24,1.6,42.5,100,10.9,6,12,Causes Intense Bleeding
Centennial Shorty Silencer FMJ,Shorty Silencer,Centennial,,SingleBulletType,Medium,FMJ,Medium / FMJ,Medium Slot,187,137,50,114,85,367,19,24,1.6,42.5,100,10.9,6,12,Damage dropoff begins at 40m
Centennial Shorty Silencer High Velocity,Shorty Silencer,Centennial,,SingleBulletType,Medium,High Velocity,Medium / High Velocity,Medium Slot,197,137,60,108,110,559,19,24,1.6,42.5,100,10.9,6,8,
Centennial Shorty Silencer Poison,Shorty Silencer,Centennial,,SingleBulletType,Medium,Poison,Medium / Poison,Medium Slot,187,137,50,114,100,459,15,24,1.6,42.5,100,10.9,6,12,Causes Medium Poison
Centennial Shorty Silencer Subsonic,Shorty Silencer,Centennial,,SingleBulletType,Medium,Subsonic,Medium / Subsonic,Medium Slot,147,137,10,114,75,283,15,24,1.6,42.5,100,10.9,6,14,Reduced Sound
Centennial Shorty Subsonic,Shorty,Centennial,,SingleBulletType,Medium,Subsonic,Medium / Subsonic,Medium Slot,113,103,10,120,80,312,15,24,1.6,42.5,100,10.9,6,14,Reduced Sound
Centennial Sniper,Sniper,Centennial,Centennial Sniper,SingleBulletType,Medium,Default,Medium / Default,Large Slot,181,181,0,123,140,600,11,23,1.6,37.5,69,15.4,10,12,
Centennial Sniper Dumdum,Sniper,Centennial,,SingleBulletType,Medium,Dumdum,Medium / Dumdum,Large Slot,181 + Scarce,181,-1,123,125,480,11,23,1.6,37.5,69,15.4,10,12,Causes Intense Bleeding
Centennial Sniper FMJ,Sniper,Centennial,,SingleBulletType,Medium,FMJ,Medium / FMJ,Large Slot,231,181,50,123,125,480,14,23,1.6,37.5,69,15.4,10,12,Damage dropoff begins at 40m
Centennial Sniper High Velocity,Sniper,Centennial,,SingleBulletType,Medium,High Velocity,Medium / High Velocity,Large Slot,241,181,60,116,155,725,14,23,1.6,37.5,69,15.4,10,8,
Centennial Sniper Poison,Sniper,Centennial,,SingleBulletType,Medium,Poison,Medium / Poison,Large Slot,231,181,50,123,140,600,11,23,1.6,37.5,69,15.4,10,12,Causes Medium Poison
Centennial Sniper Subsonic,Sniper,Centennial,,SingleBulletType,Medium,Subsonic,Medium / Subsonic,Large Slot,191,181,10,123,105,333,11,23,1.6,37.5,69,15.4,10,14,Reduced Sound
Centennial Subsonic,Base,Centennial,,SingleBulletType,Medium,Subsonic,Medium / Subsonic,Large Slot,167,157,10,123,105,333,11,23,1.6,25,77,15.5,10,14,Reduced Sound
Centennial Trauma,Trauma,Centennial,Centennial Trauma,SingleBulletType,Medium,Default,Medium / Default,Large Slot,167,167,0,123,140,600,12.5,23,1.6,25,77,15.5,10,12,
Centennial Trauma Dumdum,Trauma,Centennial,,SingleBulletType,Medium,Dumdum,Medium / Dumdum,Large Slot,217,167,50,123,125,480,12.5,23,1.6,25,77,15.5,10,12,Causes Intense Bleeding
Centennial Trauma FMJ,Trauma,Centennial,,SingleBulletType,Medium,FMJ,Medium / FMJ,Large Slot,217,167,50,123,125,480,15,23,1.6,25,77,15.5,10,12,Damage dropoff begins at 40m
Centennial Trauma High Velocity,Trauma,Centennial,,SingleBulletType,Medium,High Velocity,Medium / High Velocity,Large Slot,227,167,60,116,155,725,15,23,1.6,25,77,15.5,10,8,
Centennial Trauma Poison,Trauma,Centennial,,SingleBulletType,Medium,Poison,Medium / Poison,Large Slot,217,167,50,123,140,600,12.5,23,1.6,25,77,15.5,10,12,Causes Medium Poison
Centennial Trauma Subsonic,Trauma,Centennial,,SingleBulletType,Medium,Subsonic,Medium / Subsonic,Large Slot,177,167,10,123,105,333,12.5,23,1.6,25,77,15.5,10,14,Reduced Sound
Chu Ko Nu,Base,Chu Ko Nu,Chu Ko Nu,TwoSpecialType,Special,Default,Special / Default,Medium Slot,75,75,0,150,15,125,2,40,0.7,10,100,8.5,10,10,
Chu Ko Nu Explosive Bolt,Base,Chu Ko Nu,,TwoSpecialType,Special,Explosive,Special / Explosive,Medium Slot,125,75,50,99,15,80,2,25,0.7,17.5,100,8.5,10,5,Causes Light Bleeding
Chu Ko Nu Incendiary Bolt,Base,Chu Ko Nu,,TwoSpecialType,Special,Incendiary,Special / Incendiary,Medium Slot,100,75,25,150,15,125,2,40,0.7,10,100,8.5,10,10,Causes Medium Burning
Conversion,Base,Conversion,Conversion,SingleBulletType,Compact,Default,Compact / Default,Small Slot,55,55,0,104,75,300,4.5,21,1.4,30,128,11.2,6,18,
Conversion Chain Pistol,Chain Pistol,Conversion,Conversion Chain Pistol,SingleBulletType,Compact,Default,Compact / Default,Small Slot,84,84,0,104,75,300,3.5,24,1.4,45,128,28.7,17,18,
Conversion Chain Pistol Dumdum,Chain Pistol,Conversion,,SingleBulletType,Compact,Dumdum,Compact / Dumdum,Small Slot,134,84,50,104,70,270,3.5,24,1.4,45,128,28.7,17,18,Causes Medium Bleeding
Conversion Chain Pistol FMJ,Chain Pistol,Conversion,,SingleBulletType,Compact,FMJ,Compact / FMJ,Small Slot,134,84,50,104,70,270,5.5,24,1.4,45,128,28.7,17,18,Damage dropoff begins at 30m
Conversion Dumdum,Base,Conversion,,SingleBulletType,Compact,Dumdum,Compact / Dumdum,Small Slot,105,55,50,104,70,270,4.5,21,1.4,30,128,11.2,6,18,Causes Medium Bleeding
Conversion FMJ,Base,Conversion,,SingleBulletType,Compact,FMJ,Compact / FMJ,Small Slot,105,55,50,104,70,270,6.5,21,1.4,30,128,11.2,6,18,Damage dropoff begins at 30m
Crossbow,Base,Crossbow,Crossbow,TwoSpecialType,Special,Default,Special / Default,Large Slot,50,50,0,246,20,150,4,13,4.8,30,77,5.3,1,9,
Crossbow Deadeye,Deadeye,Crossbow,Crossbow Deadeye,TwoSpecialType,Special,Default,Special / Default,Large Slot,53,53,0,246,20,150,4,13,4.8,30,69,5.3,1,9,
Crossbow Deadeye Explosive Bolt,Deadeye,Crossbow,,TwoSpecialType,Special,Explosive,Special / Explosive,Large Slot,53 + Scarce,53,-1,220,10,60,4,13,4.8,37.5,69,5.3,1,4,
Crossbow Deadeye Shot Bolt,Deadeye,Crossbow,,TwoSpecialType,Special,Shot Bolt,Special / Shot Bolt,Large Slot,93,53,40,454,15,100,4,13,4.8,30,69,5.3,1,6,
Crossbow Deadeye Steel Bolt,Deadeye,Crossbow,,TwoSpecialType,Special,Steel,Special / Steel,Large Slot,93,53,40,246,35,225,8,13,4.8,30,69,5.3,1,7,Can be recovered and reused
Crossbow Explosive Bolt,Base,Crossbow,,TwoSpecialType,Special,Explosive,Special / Explosive,Large Slot,50 + Scarce,50,-1,220,10,60,4,13,4.8,37.5,77,5.3,1,4,
Crossbow Shot Bolt,Base,Crossbow,,TwoSpecialType,Special,Shot Bolt,Special / Shot Bolt,Large Slot,90,50,40,454,15,100,4,13,4.8,30,77,5.3,1,6,
Crossbow Steel Bolt,Base,Crossbow,,TwoSpecialType,Special,Steel,Special / Steel,Large Slot,90,50,40,246,35,225,8,13,4.8,30,77,5.3,1,7,
Dolch 96,Base,Dolch,Dolch,SingleSpecialType,Special,Default,Special / Default,Small Slot,690,690,0,97,70,440,14,64,0.4,35,128,6,10,10,
Dolch 96 Bullseye,Bullseye,Dolch,Dolch Bullseye,SingleSpecialType,Special,Default,Special / Default,Small Slot,725,725,0,97,70,440,14,40,0.4,50,106,21.7,10,10,
Dolch 96 Bullseye Dumdum,Bullseye,Dolch,,SingleSpecialType,Special,Dumdum,Special / Dumdum,Small Slot,725 + Scarce,725,-1,97,65,390,14,40,0.4,50,106,21.7,10,10,Causes Medium Bleeding
Dolch 96 Bullseye FMJ,Bullseye,Dolch,,SingleSpecialType,Special,FMJ,Special / FMJ,Small Slot,725 + Scarce,725,-1,97,65,390,17,40,0.4,50,106,21.7,10,10,Damage dropoff begins at 30m
Dolch 96 Claw,Claw,Dolch,Dolch Claw,SingleSpecialType,Special,Default,Special / Default,Small Slot,700,700,0,97,70,440,14,64,0.4,35,128,6,10,10,
Dolch 96 Claw Dumdum,Claw,Dolch,,SingleSpecialType,Special,Dumdum,Special / Dumdum,Small Slot,700 + Scarce,700,-1,97,65,390,14,64,0.4,35,128,6,10,10,Causes Medium Bleeding
Dolch 96 Claw FMJ,Claw,Dolch,,SingleSpecialType,Special,FMJ,Special / FMJ,Small Slot,700 + Scarce,700,-1,97,65,390,17,64,0.4,35,128,6,10,10,Damage dropoff begins at 30m
Dolch 96 Dumdum,Base,Dolch,,SingleSpecialType,Special,Dumdum,Special / Dumdum,Small Slot,690 + Scarce,690,-1,97,65,390,14,64,0.4,35,128,6,10,10,Causes Medium Bleeding
Dolch 96 FMJ,Base,Dolch,,SingleSpecialType,Special,FMJ,Special / FMJ,Small Slot,690 + Scarce,690,-1,97,65,390,17,64,0.4,35,128,6,10,10,Damage dropoff begins at 30m
Dolch 96 Precision,Precision,Dolch,Dolch Precision,SingleSpecialType,Special,Default,Special / Default,Medium Slot,730,730,0,97,70,440,12,64,0.3,30,87,6,10,10,
Dolch 96 Precision Dumdum,Precision,Dolch,,SingleSpecialType,Special,Dumdum,Special / Dumdum,Medium Slot,730 + Scarce,730,-1,97,65,390,12,64,0.3,30,87,6,10,10,Causes Medium Bleeding
Dolch 96 Precision FMJ,Precision,Dolch,,SingleSpecialType,Special,FMJ,Special / FMJ,Medium Slot,730 + Scarce,730,-1,97,65,390,14,64,0.3,30,87,6,10,10,Damage dropoff begins at 30m
Drilling,Base,Drilling,Drilling,BulletShellType,Medium,Default,Medium / Default,Large Slot,510,510,0,120,145,530,12,20,0.6,42.5,77,5.3,2,20,
Drilling Buckshot,Base,Drilling,Drilling,BulletShellType,Shells,Default,Shells / Default,Large Slot,0,0,0,200,20,450,32,9,6.2,42.5,77,5.1,1,5,
Drilling Dumdum,Base,Drilling,,BulletShellType,Medium,Dumdum,Medium / Dumdum,Large Slot,560,510,50,120,125,371,12,20,0.6,42.5,77,5.3,2,20,Causes Intense Bleeding
Drilling Flechette,Base,Drilling,,BulletShellType,Shells,Flechette,Shells / Flechette,Large Slot,530,510,20,132,20,450,32,9,6.2,21.2,77,5.1,1,5,Causes Medium Bleeding
Drilling FMJ,Base,Drilling,,BulletShellType,Medium,FMJ,Medium / FMJ,Large Slot,560,510,50,120,125,371,16,20,0.6,42.5,77,5.3,2,20,Damage dropoff begins at 40m
Drilling Hatchet,Hatchet,Drilling,Drilling Hatchet,BulletShellType,Medium,Default,Medium / Default,Medium Slot,340,340,0,118,120,424,16,18,0.6,62.5,100,5.6,2,20,
Drilling Hatchet Buckshot,Hatchet,Drilling,Drilling Hatchet,BulletShellType,Shells,Default,Shells / Default,Medium Slot,0,340,0,200,20,375,30,11,5.8,62.5,100,5.3,1,3,
Drilling Hatchet Dumdum,Hatchet,Drilling,,BulletShellType,Medium,Dumdum,Medium / Dumdum,Medium Slot,390,340,50,118,105,340,16,18,0.6,62.5,100,5.6,2,20,Causes Intense Bleeding
Drilling Hatchet Flechette,Hatchet,Drilling,,BulletShellType,Shells,Flechette,Shells / Flechette,Medium Slot,360,340,20,130,20,375,30,11,5.8,26.2,100,5.3,1,3,Causes Medium Bleeding
Drilling Hatchet FMJ,Hatchet,Drilling,,BulletShellType,Medium,FMJ,Medium / FMJ,Medium Slot,390,340,50,118,105,340,20,18,0.6,62.5,100,5.6,2,20,Damage dropoff begins at 40m
Drilling Hatchet High Velocity,Hatchet,Drilling,,BulletShellType,Medium,High Velocity,Medium / High Velocity,Medium Slot,400,340,60,113,135,524,22,18,0.6,62.5,100,5.6,2,13,
Drilling Hatchet Penny Shot,Hatchet,Drilling,,BulletShellType,Shells,Penny Shot,Shells / Penny Shot,Medium Slot,345,340,5,85,15,375,30,11,5.8,62.1,100,5.3,1,4,
Drilling Hatchet Slug,Hatchet,Drilling,,BulletShellType,Shells,Slug,Shells / Slug,Medium Slot,405,340,65,157,20,375,30,11,5.8,125,100,5.3,1,2,
Drilling High Velocity,Base,Drilling,,BulletShellType,Medium,High Velocity,Medium / High Velocity,Large Slot,570,510,60,114,165,655,16,20,0.6,42.5,77,5.3,2,13,
Drilling Penny Shot,Base,Drilling,,BulletShellType,Shells,Penny Shot,Shells / Penny Shot,Large Slot,515,510,5,190,20,450,32,9,6.2,75,77,5.1,1,8,
Drilling Shorty,Shorty,Drilling,Drilling Shorty,BulletShellType,Medium,Default,Medium / Default,Medium Slot,330,330,0,118,120,424,16,20,0.6,62.5,100,4.8,2,20,
Drilling Shorty Buckshot,Shorty,Drilling,Drilling Shorty,BulletShellType,Shells,Default,Shells / Default,Medium Slot,0,0,0,200,20,375,30,11,5.8,62.5,100,4.9,1,3,
Drilling Shorty Dumdum,Shorty,Drilling,,BulletShellType,Medium,Dumdum,Medium / Dumdum,Medium Slot,380,330,50,118,105,340,16,20,0.6,62.5,100,4.8,2,20,Causes Intense Bleeding
